Vernier Format 2
Untitled.cmbl 5/18/16 21:09 .
Latest
Wavelength	Intensity
λ	I
nm	rel

250.164311576	0.001
250.380905308	0.00115114538966
250.597489166	0.00115403801141
250.814063147	0.00106407157173
251.030627248	0.001
251.247181466	0.00110262018401
251.463725798	0.00101820285543
251.680260241	0.00111950364972
251.896784793	0.00105427207764
252.11329945	0.00108803900907
252.32980421	0.00125073422414
252.546299069	0.00123001360713
252.762784025	0.00131212864492
252.979259075	0.00131212864492
253.195724216	0.00152393939662
253.412179446	0.00135740703025
253.62862476	0.00132883501135
253.845060157	0.00132883501135
254.061485633	0.00139099686239
254.277901185	0.00130811439434
254.494306812	0.0012935332194
254.710702508	0.0012935332194
254.927088273	0.001
255.143464103	0.00103662118167
255.359829994	0.00102912397836
255.576185945	0.00124612964258
255.792531952	0.00117859577972
256.008868012	0.00116324717453
256.225194123	0.00113408482466
256.441510281	0.00117322376791
256.657816484	0.00128603601609
256.874112729	0.00112334080102
257.090399012	0.00115250315089
257.306675331	0.00119394438492
257.522941684	0.00119394438492
257.739198066	0.001
257.955444476	0.001
258.17168091	0.001
258.387907366	0.00104718810601
258.60412384	0.001
258.820330329	0.001
259.036526832	0.00113007057407
259.252713344	0.00119530214615
259.468889863	0.00119530214615
259.685056387	0.00118455812251
259.901212911	0.00136643909408
260.117359434	0.00120911589082
260.333495952	0.00115155862134
260.549622463	0.00109878303271
260.765738963	0.00103644408237
260.981845449	0.00105256011783
261.19794192	0.001
261.414028371	0.001
261.630104801	0.001
261.846171205	0.001
262.062227582	0.001013066976
262.278273928	0.001
262.49431024	0.00100232295236
262.710336516	0.001
262.926352752	0.00101708122659
263.142358946	0.00101708122659
263.358355095	0.00110303341568
263.574341196	0.00104701100672
263.790317246	0.00107463849607
264.006283242	0.00107463849607
264.222239181	0.00106849905399
264.43818506	0.001
264.654120877	0.001
264.870046628	0.001
265.085962311	0.001
265.301867922	0.00100556977269
265.51776346	0.001
265.73364892	0.001
265.9495243	0.001
266.165389598	0.001
266.381244809	0.00106212347953
266.597089932	0.001
266.812924964	0.001
267.0287499	0.00112522986012
267.24456474	0.00112522986012
267.460369479	0.00100397587908
267.676164115	0.00103160336843
267.891948645	0.001
268.107723066	0.001
268.323487375	0.001
268.53924157	0.001
268.754985647	0.001
268.970719603	0.001
269.186443436	0.001
269.402157142	0.001
269.617860719	0.001
269.833554164	0.001
270.049237474	0.001
270.264910646	0.001
270.480573677	0.001
270.696226565	0.001
270.911869305	0.001
271.127501897	0.001
271.343124336	0.001
271.558736619	0.001
271.774338744	0.001
271.989930708	0.001
272.205512509	0.001
272.421084142	0.001
272.636645605	0.001
272.852196896	0.001
273.067738011	0.001
273.283268947	0.001
273.498789702	0.001
273.714300273	0.001
273.929800657	0.001
274.14529085	0.001
274.360770851	0.001
274.576240655	0.001
274.791700261	0.001
275.007149665	0.001
275.222588865	0.00104583034478
275.438017857	0.001
275.653436638	0.001
275.868845207	0.001
276.084243559	0.001
276.299631692	0.001
276.515009603	0.001
276.730377289	0.00108898353862
276.945734747	0.00113886650551
277.161081975	0.00105061202563
277.376418969	0.00105273721712
277.591745727	0.00108420185777
277.807062245	0.00110108532349
278.022368521	0.00106808582232
278.237664552	0.00106808582232
278.452950335	0.00106808582232
278.668225867	0.001
278.883491144	0.001
279.098746166	0.001
279.313990927	0.001
279.529225426	0.001
279.74444966	0.001
279.959663625	0.001
280.174867319	0.001
280.390060739	0.001
280.605243881	0.001
280.820416744	0.001
281.035579324	0.001
281.250731618	0.001
281.465873624	0.001
281.681005338	0.001
281.896126758	0.001
282.11123788	0.001
282.326338702	0.001
282.541429221	0.001
282.756509434	0.001
282.971579338	0.001
283.18663893	0.001
283.401688208	0.001
283.616727168	0.001
283.831755807	0.001
284.046774123	0.001
284.261782113	0.001
284.476779773	0.001
284.691767101	0.001
284.906744095	0.001
285.12171075	0.001
285.336667065	0.001
285.551613036	0.001
285.76654866	0.001
285.981473935	0.001
286.196388857	0.001
286.411293424	0.001
286.626187633	0.001
286.841071481	0.001
287.055944965	0.001
287.270808082	0.001
287.485660829	0.001
287.700503204	0.001
287.915335203	0.001
288.130156823	0.001
288.344968063	0.001
288.559768918	0.001
288.774559385	0.001
288.989339463	0.001
289.204109148	0.001
289.418868437	0.001
289.633617327	0.001
289.848355815	0.001
290.063083899	0.001
290.277801575	0.001
290.492508841	0.001
290.707205694	0.001
290.921892131	0.001
291.136568149	0.001
291.351233744	0.001
291.565888915	0.001
291.780533658	0.001
291.995167971	0.001
292.20979185	0.001
292.424405292	0.001
292.639008296	0.001
292.853600857	0.001
293.068182973	0.001
293.28275464	0.001
293.497315857	0.001
293.71186662	0.001
293.926406927	0.001
294.140936774	0.001
294.355456158	0.001
294.569965077	0.001
294.784463527	0.001
294.998951507	0.001
295.213429012	0.001
295.42789604	0.001
295.642352589	0.001
295.856798654	0.001
296.071234234	0.001
296.285659325	0.001
296.500073925	0.001
296.714478031	0.001
296.928871639	0.001
297.143254747	0.001
297.357627352	0.001
297.57198945	0.001
297.78634104	0.001
298.000682119	0.001
298.215012682	0.001
298.429332728	0.001
298.643642254	0.001
298.857941256	0.001
299.072229732	0.001
299.286507678	0.00111773265681
299.500775093	0.001
299.715031973	0.001
299.929278315	0.001
300.143514116	0.001
300.357739373	0.001
300.571954084	0.001
300.786158245	0.00120333064733
301.000351855	0.00119795863551
301.214534908	0.00118201969934
301.428707404	0.00116436880337
301.642869339	0.00130404111065
301.85702071	0.00142759738247
302.071161513	0.00148267526189
302.285291748	0.00151473023351
302.499411409	0.00159454298052
302.713520495	0.00168970433273
302.927619003	0.00177565652183
303.141706929	0.00163828650533
303.355784271	0.00172347126416
303.569851026	0.00171733182209
303.783907191	0.00157458979377
303.997952763	0.00153928800182
304.211987739	0.00178179596391
304.426012116	0.00187849217664
304.640025892	0.00189767793313
304.854029063	0.00187790184567
305.068021627	0.00187465502534
305.282003581	0.00161833331858
305.495974921	0.00151549766377
305.709935646	0.0016235282311
305.923885751	0.00164100202779
306.137825234	0.00166786208688
306.351754093	0.00154277095454
306.565672324	0.0015721104037
306.779579924	0.00158763610818
306.993476891	0.00149170732571
307.207363222	0.00135050015791
307.421238913	0.00119547924544
307.635103962	0.00126147824778
307.848958366	0.00121313014141
308.062802122	0.00108036470647
308.276635227	0.00108036470647
308.490457678	0.00110858252679
308.704269473	0.001
308.918070608	0.001
309.13186108	0.001
309.345640888	0.001
309.559410027	0.001
309.773168494	0.001
309.986916288	0.001
310.200653405	0.001
310.414379842	0.00106501610128
310.628095596	0.001
310.841800665	0.001
311.055495045	0.001
311.269178733	0.001
311.482851727	0.001
311.696514024	0.001
311.910165621	0.001
312.123806515	0.001
312.337436703	0.001
312.551056182	0.00114884309888
312.764664949	0.00119258662369
312.978263002	0.00119795863551
313.191850337	0.00114423851732
313.405426951	0.00114423851732
313.618992843	0.00120716779863
313.832548008	0.00108957386959
314.046092444	0.00108420185777
314.259626148	0.00103372855992
314.473149117	0.00114884309888
314.686661348	0.00115574997122
314.900162839	0.001
315.113653586	0.00110816929512
315.327133586	0.00131230574422
315.540602838	0.00134300295461
315.754061336	0.00121407467096
315.96750908	0.00112198303979
316.180946065	0.0013775373163
316.39437229	0.00157630175358
316.60778775	0.00157647885287
316.821192444	0.00159395264955
317.034586368	0.00139749050305
317.24796952	0.00140669966617
317.461341896	0.0013775373163
317.674703493	0.0013775373163
317.88805431	0.00153102336825
318.101394342	0.00150416330916
318.314723587	0.00159412974884
318.528042042	0.00162405952897
318.741349704	0.00181727485515
318.954646571	0.00170216031618
319.167932639	0.00167376539657
319.381207905	0.00165381220982
319.594472367	0.00160853382449
319.807726021	0.00140439737539
320.020968865	0.00134300295461
320.234200896	0.00134300295461
320.447422111	0.00134300295461
320.660632507	0.00116879628564
320.873832081	0.001
321.087020831	0.001
321.300198752	0.0010360308507
321.513365844	0.001
321.726522101	0.001
321.939667523	0.001
322.152802105	0.001
322.365925845	0.001
322.57903874	0.001
322.792140787	0.001
323.005231983	0.001
323.218312326	0.001
323.431381812	0.001
323.644440438	0.001
323.857488202	0.001
324.070525101	0.001
324.283551131	0.001
324.49656629	0.001
324.709570575	0.001
324.922563984	0.001
325.135546512	0.001
325.348518158	0.001
325.561478918	0.001
325.77442879	0.001
325.98736777	0.001
326.200295856	0.001
326.413213045	0.001
326.626119334	0.001
326.83901472	0.001
327.0518992	0.001
327.264772771	0.001
327.47763543	0.001
327.690487175	0.001
327.903328002	0.001
328.116157909	0.001
328.328976893	0.001
328.54178495	0.001
328.754582078	0.001
328.967368275	0.001
329.180143536	0.001
329.39290786	0.001
329.605661243	0.001
329.818403683	0.001
330.031135176	0.001
330.243855719	0.001
330.456565311	0.001
330.669263947	0.001
330.881951625	0.001
331.094628343	0.001
331.307294096	0.001
331.519948883	0.001
331.7325927	0.001
331.945225544	0.001
332.157847413	0.001
332.370458304	0.001
332.583058214	0.001
332.795647139	0.001
333.008225077	0.001
333.220792026	0.001
333.433347981	0.001
333.645892941	0.001
333.858426902	0.001
334.070949862	0.00109187616037
334.283461817	0.00111950364972
334.495962765	0.00114099169699
334.708452703	0.00115002376082
334.920931628	0.00115923292394
335.133399536	0.00115173572063
335.345856426	0.00114406141803
335.558302294	0.00114406141803
335.770737137	0.00132364009882
335.983160952	0.00150398620987
336.195573737	0.00134052356454
336.407975489	0.00134052356454
336.620366205	0.00137889507753
336.832745881	0.00127358003265
337.045114515	0.00121891538491
337.257472104	0.00121891538491
337.469818645	0.00121891538491
337.682154135	0.00113219576556
337.894478572	0.00100863949373
338.106791952	0.001
338.319094273	0.00112989347478
338.531385531	0.00109535911309
338.743665724	0.00115061409179
338.955934849	0.00103626698308
339.168192903	0.00102723491926
339.380439883	0.001
339.592675786	0.001
339.804900609	0.001
340.017114349	0.001
340.229317004	0.001
340.441508571	0.001
340.653689046	0.001
340.865858427	0.001
341.07801671	0.001
341.290163894	0.001
341.502299975	0.001
341.714424949	0.001
341.926538815	0.001
342.13864157	0.001
342.35073321	0.001
342.562813732	0.00111968074901
342.774883134	0.00111968074901
342.986941413	0.001
343.198988566	0.001
343.41102459	0.001
343.623049482	0.001
343.835063239	0.001
344.047065858	0.001
344.259057337	0.001
344.471037672	0.0010912858294
344.68300686	0.00105905375849
344.8949649	0.00105905375849
345.106911787	0.00118951690265
345.318847519	0.00114193622655
345.530772093	0.00114193622655
345.742685506	0.00114211332584
345.954587755	0.00116820595467
346.166478838	0.0012839108246
346.378358751	0.00133456122175
346.590227492	0.00134684010591
346.802085057	0.00134684010591
347.013931444	0.00115344768044
347.225766649	0.00101607766394
347.437590671	0.00101607766394
347.649403505	0.00117971740857
347.86120515	0.00122806551493
348.072995602	0.00124801870169
348.284774858	0.00123095813668
348.496542916	0.00123095813668
348.708299772	0.0012440044511
348.920045424	0.001
349.131779868	0.001
349.343503102	0.001
349.555215124	0.001
349.766915929	0.001
349.978605515	0.001
350.19028388	0.001
350.40195102	0.001
350.613606932	0.001
350.825251614	0.001
351.036885063	0.001
351.248507275	0.001
351.460118248	0.001
351.67171798	0.001
351.883306466	0.0010665509618
352.094883704	0.001
352.306449692	0.001
352.518004426	0.001
352.729547903	0.001
352.941080121	0.00116844208706
353.152601077	0.00115114538966
353.364110767	0.00115285734947
353.575609189	0.00120120545584
353.787096341	0.00119583344402
353.998572218	0.00104848683414
354.210036819	0.00118969400194
354.421490139	0.00117263343694
354.632932178	0.00104695197362
354.84436293	0.00104695197362
355.055782394	0.00111141611545
355.267190567	0.00121425177025
355.478587446	0.00115439220999
355.689973028	0.00110126242278
355.901347309	0.00112410823128
356.112710288	0.00118550265206
356.324061961	0.00108496928803
356.535402325	0.00104258352445
356.746731378	0.001
356.958049116	0.001
357.169355536	0.001
357.380650637	0.001
357.591934414	0.001
357.803206865	0.001
358.014467987	0.001
358.225717777	0.001
358.436956233	0.001
358.648183351	0.001
358.859399128	0.001
359.070603561	0.001
359.281796649	0.001
359.492978387	0.001
359.704148773	0.001
359.915307804	0.001
360.126455476	0.001
360.337591788	0.001
360.548716737	0.001
360.759830318	0.001
360.97093253	0.001
361.18202337	0.001
361.393102834	0.001
361.60417092	0.001
361.815227625	0.001
362.026272946	0.001
362.237306879	0.001
362.448329423	0.001
362.659340575	0.001
362.87034033	0.001
363.081328687	0.0010093478909
363.292305643	0.00101454280342
363.503271194	0.00103160336843
363.714225338	0.0012572278648
363.925168072	0.0014805500704
364.136099393	0.00145215515079
364.347019298	0.00144967576072
364.557927784	0.00153869767085
364.768824848	0.00141897855032
364.979710488	0.0012764136213
365.190584701	0.00122960037545
365.401447482	0.00122960037545
365.612298831	0.0012495535622
365.823138743	0.00124264668987
366.033967217	0.00142204827136
366.244784248	0.00149111699474
366.455589834	0.0015548137063
366.666383973	0.00158108343443
366.877166661	0.00161006868501
367.087937895	0.00164631500651
367.298697673	0.00142069051013
367.509445991	0.00136159838013
367.720182847	0.00160965545333
367.930908238	0.00159259488832
368.141622161	0.00156343253845
368.352324612	0.00132092457636
368.56301559	0.00135929608935
368.773695091	0.00135929608935
368.984363113	0.00141071391676
369.195019652	0.00141071391676
369.405664705	0.00140746709643
369.61629827	0.00140746709643
369.826920344	0.00153102336825
370.037530923	0.00154253482215
370.248130006	0.00145658263305
370.458717589	0.0013583515598
370.669293668	0.00128928283642
370.879858242	0.00122558612486
371.090411307	0.00125226908466
371.300952861	0.00129081769694
371.5114829	0.0014212808411
371.722001422	0.0014212808411
371.932508424	0.00139825793331
372.143003903	0.00114500594758
372.353487855	0.00131230574422
372.563960279	0.00111584359771
372.77442117	0.00105598403745
372.984870527	0.001
373.195308346	0.001
373.405734625	0.001
373.616149361	0.001
373.82655255	0.001
374.036944189	0.001
374.247324277	0.001
374.45769281	0.001
374.668049784	0.001
374.878395198	0.001
375.088729048	0.001
375.299051332	0.001
375.509362046	0.001
375.719661188	0.001
375.929948754	0.001
376.140224742	0.001
376.350489149	0.001
376.560741972	0.001
376.770983208	0.001
376.981212854	0.001
377.191430908	0.001
377.401637366	0.001
377.611832225	0.001
377.822015484	0.001
378.032187137	0.001
378.242347184	0.001
378.452495621	0.001
378.662632444	0.001
378.872757652	0.001
379.082871241	0.001
379.292973208	0.001
379.503063551	0.001
379.713142266	0.001
379.923209351	0.001
380.133264802	0.001
380.343308618	0.001
380.553340794	0.001
380.763361328	0.001
380.973370218	0.001
381.183367459	0.001
